Time,Region
512213.960,face
512214.160,face
512214.360,face
512214.560,face
512214.760,face
512214.960,face
512215.160,A
512215.360,face
512215.560,face
512215.760,face
512215.960,face
512216.160,face
512216.360,face
512216.560,face
512216.760,B
512216.960,None-p03_s02b
512217.160,A
512217.360,A
512217.560,A
512217.760,A
512217.960,A
512218.160,A
512218.360,A
512218.560,face
512218.760,face
512218.960,F
512219.160,F
512219.360,F
512219.560,face
512219.760,face
512219.960,face
512220.160,face
512220.360,face
512220.560,face
512220.760,face
512220.960,face
512221.160,face
512221.360,face
512221.560,face
512221.760,face
512221.960,B
512222.160,B
512222.360,None-p03_s02b
512222.560,face
512222.760,face
512222.960,face
512223.160,face
512223.360,face
512223.560,face
512223.760,face
512223.960,E
512224.160,face
512224.360,face
512224.560,face
512224.760,None-p03_s02b
512224.960,face
512225.160,B
512225.360,None-p03_s02b
512225.560,None-p03_s02b
512225.760,C
512225.960,C
512226.160,C
512226.360,C
512226.560,C
512226.760,C
512226.960,C
512227.160,C
512227.360,C
512227.560,D
512227.760,D
512227.960,D
512228.160,D
512228.360,D
512228.560,D
512228.760,D
512228.960,D
512229.160,D
512229.360,D
512229.560,D
512229.760,D
512229.960,D
512230.160,D
512230.360,D
512230.560,D
512230.760,None-p03_s02b
512230.960,D
512231.160,D
512231.360,D
512231.560,D
512231.760,D
512231.960,D
512232.160,D
512232.360,D
512232.560,D
512232.760,B
512232.960,face
512233.160,face
512233.360,face
512233.560,face
512233.760,E
512233.960,D
512234.160,D
512234.360,D
512234.560,D
512234.760,D
512234.960,D
512235.160,D
512235.360,D
512235.560,D
512235.760,D
512235.960,D
512236.160,D
512236.360,D
512236.560,D
512236.760,D
512236.960,D
512237.160,D
512237.360,D
512237.560,D
512237.760,D
512237.960,D
512238.160,D
512238.360,D
512238.560,D
512238.760,D
512238.960,D
512239.160,D
512239.360,D
512239.560,D
512239.760,D
512239.960,None-p03_s02b
512240.160,D
512240.360,None-p03_s02b
512240.560,F
512240.760,face
512240.960,face
512241.160,face
512241.360,face
512241.560,face
512241.760,face
512241.960,face
512242.160,face
512242.360,face
512242.560,face
512242.760,face
512242.960,face
512243.160,face
512243.360,face
512243.560,face
512243.760,D
512243.960,D
512244.160,D
512244.360,D
512244.560,D
512244.760,D
512244.960,D
512245.160,D
512245.360,D
512245.560,D
512245.760,C
512245.960,C
512246.160,B
512246.360,B
512246.560,None-p03_s02b
512246.760,face
512246.960,face
512247.160,face
512247.360,face
512247.560,face
512247.760,A
512247.960,A
512248.160,A
512248.360,A
512248.560,A
512248.760,A
512248.960,A
512249.160,A
512249.360,A
512249.560,A
512249.760,A
512249.960,A
512250.160,A
512250.360,A
512250.560,A
512250.760,A
512250.960,A
512251.160,A
512251.360,A
512251.560,A
512251.760,A
512251.960,A
512252.160,A
512252.360,A
512252.560,A
512252.760,A
512252.960,A
512253.160,A
512253.360,A
512253.560,A
512253.760,A
512253.960,None-p03_s02b
512254.160,A
512254.360,A
512254.560,A
512254.760,A
512254.960,A
512255.160,A
512255.360,A
512255.560,A
512255.760,A
512255.960,None-p03_s02b
512256.160,A
512256.360,A
512256.560,A
512256.760,A
512256.960,A
512257.160,A
512257.360,A
512257.560,A
512257.760,A
512257.960,A
512258.160,A
512258.360,A
512258.560,A
512258.760,A
